,key_0,Rank,MovieName,Distributor,Gross,Release,Week,BOM_link,ReleaseInfo,db_link,db_id,rating,year,imdb_id,imdb_link,Runtime,Budget,Country,Resource_x,Maoyan_link_x,WeiboClicks,GoldRelease,IssueDataOfGoldenWeek,Genre,Number,Genre,Maoyan_link_y,TotalWeiboClicks,TotalWechatClicks,Resource_y
0,ACTION,1,Furious 7,China Film,"$390,910,000 ",12-Apr,15,https://www.boxofficemojo.com//movies/?page=intl&id=fast7.htm,6,https://movie.douban.com/subject/23761370/,23761370,8.3,2015,tt2820852,https://www.imdb.com/title/tt2820852/?ref_=nv_sr_1,137,"$190,000,000
            ",Japan,,https://piaofang.maoyan.com/movie/870751,,0,2,Action,1,Action,https://piaofang.maoyan.com/movie/870751,,,
1,CRIME,1,Furious 7,China Film,"$390,910,000 ",12-Apr,15,https://www.boxofficemojo.com//movies/?page=intl&id=fast7.htm,6,https://movie.douban.com/subject/23761370/,23761370,8.3,2015,tt2820852,https://www.imdb.com/title/tt2820852/?ref_=nv_sr_1,137,"$190,000,000
            ",Japan,,https://piaofang.maoyan.com/movie/870751,,0,2,Crime,8,Crime,https://piaofang.maoyan.com/movie/870751,,,
2,THRILLER,1,Furious 7,China Film,"$390,910,000 ",12-Apr,15,https://www.boxofficemojo.com//movies/?page=intl&id=fast7.htm,6,https://movie.douban.com/subject/23761370/,23761370,8.3,2015,tt2820852,https://www.imdb.com/title/tt2820852/?ref_=nv_sr_1,137,"$190,000,000
            ",Japan,,https://piaofang.maoyan.com/movie/870751,,0,2,Thriller,24,Thriller,https://piaofang.maoyan.com/movie/870751,,,
3,ACTION,2,Monster Hunt,China Film,"$381,860,000 ",16-Jul,29,https://www.boxofficemojo.com//movies/?page=intl&id=monsterhunt.htm,10,https://movie.douban.com/subject/25723907/,25723907,6.7,2015,tt3781476,https://www.imdb.com/title/tt3781476/?ref_=nv_sr_1,117,,China,,https://piaofang.maoyan.com/movie/789296,,0,4,Action,1,Action,https://piaofang.maoyan.com/movie/789296,,,
4,ADVENTURE,2,Monster Hunt,China Film,"$381,860,000 ",16-Jul,29,https://www.boxofficemojo.com//movies/?page=intl&id=monsterhunt.htm,10,https://movie.douban.com/subject/25723907/,25723907,6.7,2015,tt3781476,https://www.imdb.com/title/tt3781476/?ref_=nv_sr_1,117,,China,,https://piaofang.maoyan.com/movie/789296,,0,4,Adventure,2,Adventure,https://piaofang.maoyan.com/movie/789296,,,
5,COMEDY,2,Monster Hunt,China Film,"$381,860,000 ",16-Jul,29,https://www.boxofficemojo.com//movies/?page=intl&id=monsterhunt.htm,10,https://movie.douban.com/subject/25723907/,25723907,6.7,2015,tt3781476,https://www.imdb.com/title/tt3781476/?ref_=nv_sr_1,117,,China,,https://piaofang.maoyan.com/movie/789296,,0,4,Comedy,6,Comedy,https://piaofang.maoyan.com/movie/789296,,,
6,FANTASY,2,Monster Hunt,China Film,"$381,860,000 ",16-Jul,29,https://www.boxofficemojo.com//movies/?page=intl&id=monsterhunt.htm,10,https://movie.douban.com/subject/25723907/,25723907,6.7,2015,tt3781476,https://www.imdb.com/title/tt3781476/?ref_=nv_sr_1,117,,China,,https://piaofang.maoyan.com/movie/789296,,0,4,Fantasy,14,Fantasy,https://piaofang.maoyan.com/movie/789296,,,
7,ACTION,3,Mojin: The Lost Legend,,"$255,747,040 ",17-Dec,51,https://www.boxofficemojo.com//movies/?page=intl&id=mojinthelostlegend.htm,8,https://movie.douban.com/subject/3077412/,3077412,7.5,2015,tt4276752,https://www.imdb.com/title/tt4276752/?ref_=nv_sr_1,127,"$37,000,000
            ",China,,https://piaofang.maoyan.com/movie/78701,382,0,1,Action,1,Action,https://piaofang.maoyan.com/movie/78701,382,8.3万,
8,ADVENTURE,3,Mojin: The Lost Legend,,"$255,747,040 ",17-Dec,51,https://www.boxofficemojo.com//movies/?page=intl&id=mojinthelostlegend.htm,8,https://movie.douban.com/subject/3077412/,3077412,7.5,2015,tt4276752,https://www.imdb.com/title/tt4276752/?ref_=nv_sr_1,127,"$37,000,000
            ",China,,https://piaofang.maoyan.com/movie/78701,382,0,1,Adventure,2,Adventure,https://piaofang.maoyan.com/movie/78701,382,8.3万,
9,DRAMA,3,Mojin: The Lost Legend,,"$255,747,040 ",17-Dec,51,https://www.boxofficemojo.com//movies/?page=intl&id=mojinthelostlegend.htm,8,https://movie.douban.com/subject/3077412/,3077412,7.5,2015,tt4276752,https://www.imdb.com/title/tt4276752/?ref_=nv_sr_1,127,"$37,000,000
            ",China,,https://piaofang.maoyan.com/movie/78701,382,0,1,Drama,12,Drama,https://piaofang.maoyan.com/movie/78701,382,8.3万,
10,FANTASY,3,Mojin: The Lost Legend,,"$255,747,040 ",17-Dec,51,https://www.boxofficemojo.com//movies/?page=intl&id=mojinthelostlegend.htm,8,https://movie.douban.com/subject/3077412/,3077412,7.5,2015,tt4276752,https://www.imdb.com/title/tt4276752/?ref_=nv_sr_1,127,"$37,000,000
            ",China,,https://piaofang.maoyan.com/movie/78701,382,0,1,Fantasy,14,Fantasy,https://piaofang.maoyan.com/movie/78701,382,8.3万,
11,HORROR,3,Mojin: The Lost Legend,,"$255,747,040 ",17-Dec,51,https://www.boxofficemojo.com//movies/?page=intl&id=mojinthelostlegend.htm,8,https://movie.douban.com/subject/3077412/,3077412,7.5,2015,tt4276752,https://www.imdb.com/title/tt4276752/?ref_=nv_sr_1,127,"$37,000,000
            ",China,,https://piaofang.maoyan.com/movie/78701,382,0,1,Horror,16,Horror,https://piaofang.maoyan.com/movie/78701,382,8.3万,
12,MYSTERY,3,Mojin: The Lost Legend,,"$255,747,040 ",17-Dec,51,https://www.boxofficemojo.com//movies/?page=intl&id=mojinthelostlegend.htm,8,https://movie.douban.com/subject/3077412/,3077412,7.5,2015,tt4276752,https://www.imdb.com/title/tt4276752/?ref_=nv_sr_1,127,"$37,000,000
            ",China,,https://piaofang.maoyan.com/movie/78701,382,0,1,Mystery,19,Mystery,https://piaofang.maoyan.com/movie/78701,382,8.3万,
13,THRILLER,3,Mojin: The Lost Legend,,"$255,747,040 ",17-Dec,51,https://www.boxofficemojo.com//movies/?page=intl&id=mojinthelostlegend.htm,8,https://movie.douban.com/subject/3077412/,3077412,7.5,2015,tt4276752,https://www.imdb.com/title/tt4276752/?ref_=nv_sr_1,127,"$37,000,000
            ",China,,https://piaofang.maoyan.com/movie/78701,382,0,1,Thriller,24,Thriller,https://piaofang.maoyan.com/movie/78701,382,8.3万,
14,ACTION,4,Avengers: Age of Ultron,,"$240,110,000 ",11-May,19,https://www.boxofficemojo.com//movies/?page=intl&id=avengers2.htm,5,https://movie.douban.com/subject/10741834/,10741834,7.3,2015,tt2395427,https://www.imdb.com/title/tt2395427/?ref_=nv_sr_1,141,"$250,000,000
            ",USA,,https://piaofang.maoyan.com/movie/1043884,,1,3,Action,1,Action,https://piaofang.maoyan.com/movie/1043884,,,
15,ADVENTURE,4,Avengers: Age of Ultron,,"$240,110,000 ",11-May,19,https://www.boxofficemojo.com//movies/?page=intl&id=avengers2.htm,5,https://movie.douban.com/subject/10741834/,10741834,7.3,2015,tt2395427,https://www.imdb.com/title/tt2395427/?ref_=nv_sr_1,141,"$250,000,000
            ",USA,,https://piaofang.maoyan.com/movie/1043884,,1,3,Adventure,2,Adventure,https://piaofang.maoyan.com/movie/1043884,,,
16,SCI-FI,4,Avengers: Age of Ultron,,"$240,110,000 ",11-May,19,https://www.boxofficemojo.com//movies/?page=intl&id=avengers2.htm,5,https://movie.douban.com/subject/10741834/,10741834,7.3,2015,tt2395427,https://www.imdb.com/title/tt2395427/?ref_=nv_sr_1,141,"$250,000,000
            ",USA,,https://piaofang.maoyan.com/movie/1043884,,1,3,Sci-Fi,21,Sci-fi,https://piaofang.maoyan.com/movie/1043884,,,
17,ACTION,5,Lost in Hong Kong,,"$234,431,227 ",25-Sep,39,https://www.boxofficemojo.com//movies/?page=intl&id=lostinhongkong.htm,87,https://movie.douban.com/subject/25710912/,25710912,5.6,2015,tt4242158,https://www.imdb.com/title/tt4242158/?ref_=nv_sr_1,114,,China,,https://piaofang.maoyan.com/movie/904770,,0,4,Action,1,Action,https://piaofang.maoyan.com/movie/904770,,,
18,ADVENTURE,5,Lost in Hong Kong,,"$234,431,227 ",25-Sep,39,https://www.boxofficemojo.com//movies/?page=intl&id=lostinhongkong.htm,87,https://movie.douban.com/subject/25710912/,25710912,5.6,2015,tt4242158,https://www.imdb.com/title/tt4242158/?ref_=nv_sr_1,114,,China,,https://piaofang.maoyan.com/movie/904770,,0,4,Adventure,2,Adventure,https://piaofang.maoyan.com/movie/904770,,,
19,COMEDY,5,Lost in Hong Kong,,"$234,431,227 ",25-Sep,39,https://www.boxofficemojo.com//movies/?page=intl&id=lostinhongkong.htm,87,https://movie.douban.com/subject/25710912/,25710912,5.6,2015,tt4242158,https://www.imdb.com/title/tt4242158/?ref_=nv_sr_1,114,,China,,https://piaofang.maoyan.com/movie/904770,,0,4,Comedy,6,Comedy,https://piaofang.maoyan.com/movie/904770,,,
20,ACTION,6,Jurassic World,,"$228,740,000 ",10-Jun,23,https://www.boxofficemojo.com//movies/?page=intl&id=jurassicpark4.htm,5,https://movie.douban.com/subject/26416062/,26416062,6.7,2018,tt0369610,https://www.imdb.com/title/tt0369610/?ref_=nv_sr_1,124,"$150,000,000
            ",USA,,https://piaofang.maoyan.com/movie/871450,,1,3,Action,1,Action,https://piaofang.maoyan.com/movie/871450,,,
21,ADVENTURE,6,Jurassic World,,"$228,740,000 ",10-Jun,23,https://www.boxofficemojo.com//movies/?page=intl&id=jurassicpark4.htm,5,https://movie.douban.com/subject/26416062/,26416062,6.7,2018,tt0369610,https://www.imdb.com/title/tt0369610/?ref_=nv_sr_1,124,"$150,000,000
            ",USA,,https://piaofang.maoyan.com/movie/871450,,1,3,Adventure,2,Adventure,https://piaofang.maoyan.com/movie/871450,,,
22,SCI-FI,6,Jurassic World,,"$228,740,000 ",10-Jun,23,https://www.boxofficemojo.com//movies/?page=intl&id=jurassicpark4.htm,5,https://movie.douban.com/subject/26416062/,26416062,6.7,2018,tt0369610,https://www.imdb.com/title/tt0369610/?ref_=nv_sr_1,124,"$150,000,000
            ",USA,,https://piaofang.maoyan.com/movie/871450,,1,3,Sci-Fi,21,Sci-fi,https://piaofang.maoyan.com/movie/871450,,,
23,COMEDY,7,Goodbye Mr. Loser,,"$226,161,196 ",25-Sep,39,https://www.boxofficemojo.com//movies/?page=intl&id=goodbyemr.loser.htm,7,https://movie.douban.com/subject/25964071/,25964071,7.5,2015,tt5061814,https://www.imdb.com/title/tt5061814/?ref_=nv_sr_1,104,,China,暂无 ,https://piaofang.maoyan.com/movie/246082,821,0,4,Comedy,6,Comedy,https://piaofang.maoyan.com/movie/246082,821,29万+,
24,COMEDY,8,Jian Bing Man,HuaXia,"$186,350,000 ",17-Jul,29,https://www.boxofficemojo.com//movies/intl/?id=_fJIANBINGMAN01&country=CH&wk=2015W30&id=_fJIANBINGMAN01&p=.htm,6,https://movie.douban.com/subject/25895276/,25895276,5.9,2015,tt4818250,https://www.imdb.com/title/tt4818250/?ref_=nv_sr_1,113,"$12,880,000
            ",China,,,,0,4,Comedy,6,Comedy,,,,
25,,9,The Man from Macau II,Bona Light,"$154,130,000 ",19-Feb,8,https://www.boxofficemojo.com//movies/intl/?id=_fTHEMANFROMMACAUI01&country=CH&wk=2015W9&id=_fTHEMANFROMMACAUI01&p=.htm,5,https://movie.douban.com/subject/26334559/,26334559,4,2016,,,,,,,https://piaofang.maoyan.com/movie/248006,,0,1,,,,https://piaofang.maoyan.com/movie/248006,,2864,
26,ANIMATION,10,Monkey King: Hero Is Back,,"$153,020,000 ",2-Jul,27,https://www.boxofficemojo.com//movies/intl/?id=_fMONKEYKINGHEROIS01&country=CH&wk=2015W28&id=_fMONKEYKINGHEROIS01&p=.htm,9,https://movie.douban.com/subject/26277313/,26277313,8.3,2015,tt4644382,https://www.imdb.com/title/tt4644382/?ref_=nv_sr_1,89,,China,,https://piaofang.maoyan.com/movie/246397,,0,4,Animation,3,Animation,https://piaofang.maoyan.com/movie/246397,,,
