,Rank,MovieName,Distributor,Gross,Release,Week,BOM_link,ReleaseInfo,db_link,db_id,rating,year,imdb_id,imdb_link,Runtime,Budget,Country,GoldRelease,IssueDataOfGoldenWeek,Genre,Number
0,1,The Mermaid (2016),,"$526,848,189 ",8-Feb,6,https://www.boxofficemojo.com//movies/?page=intl&id=mermaid2016.htm,9,https://movie.douban.com/subject/19944106/,19944106,6.7,2016,tt4701660,https://www.imdb.com/title/tt4701660/?ref_=fn_al_tt_1,94,"$60,720,000 ",,0,1,Comedy,6
1,2,Zootopia,,"$235,591,257 ",4-Mar,9,https://www.boxofficemojo.com//movies/?page=intl&id=disney2016.htm,15,https://movie.douban.com/subject/25662329/,25662329,9.2,2016,tt2948356,https://www.imdb.com/title/tt2948356/?ref_=nv_sr_1,108,"$150,000,000 ",USA,0,2,Animation,3
2,2,Zootopia,,"$235,591,257 ",4-Mar,9,https://www.boxofficemojo.com//movies/?page=intl&id=disney2016.htm,15,https://movie.douban.com/subject/25662329/,25662329,9.2,2016,tt2948356,https://www.imdb.com/title/tt2948356/?ref_=nv_sr_1,108,"$150,000,000 ",USA,0,2,Adventure,2
3,2,Zootopia,,"$235,591,257 ",4-Mar,9,https://www.boxofficemojo.com//movies/?page=intl&id=disney2016.htm,15,https://movie.douban.com/subject/25662329/,25662329,9.2,2016,tt2948356,https://www.imdb.com/title/tt2948356/?ref_=nv_sr_1,108,"$150,000,000 ",USA,0,2,Comedy,6
4,2,Zootopia,,"$235,591,257 ",4-Mar,9,https://www.boxofficemojo.com//movies/?page=intl&id=disney2016.htm,15,https://movie.douban.com/subject/25662329/,25662329,9.2,2016,tt2948356,https://www.imdb.com/title/tt2948356/?ref_=nv_sr_1,108,"$150,000,000 ",USA,0,2,Crime,8
5,2,Zootopia,,"$235,591,257 ",4-Mar,9,https://www.boxofficemojo.com//movies/?page=intl&id=disney2016.htm,15,https://movie.douban.com/subject/25662329/,25662329,9.2,2016,tt2948356,https://www.imdb.com/title/tt2948356/?ref_=nv_sr_1,108,"$150,000,000 ",USA,0,2,Family,13
6,2,Zootopia,,"$235,591,257 ",4-Mar,9,https://www.boxofficemojo.com//movies/?page=intl&id=disney2016.htm,15,https://movie.douban.com/subject/25662329/,25662329,9.2,2016,tt2948356,https://www.imdb.com/title/tt2948356/?ref_=nv_sr_1,108,"$150,000,000 ",USA,0,2,Mystery,19
7,3,Warcraft,HuaXia,"$213,541,452 ",8-Jun,23,https://www.boxofficemojo.com//movies/?page=intl&id=warcraft.htm,47,https://movie.douban.com/subject/2131940/,2131940,7.7,2016,tt0803096,https://www.imdb.com/title/tt0803096/?ref_=nv_sr_1,123,"$160,000,000 ",China,1,3,Action,1
8,3,Warcraft,HuaXia,"$213,541,452 ",8-Jun,23,https://www.boxofficemojo.com//movies/?page=intl&id=warcraft.htm,47,https://movie.douban.com/subject/2131940/,2131940,7.7,2016,tt0803096,https://www.imdb.com/title/tt0803096/?ref_=nv_sr_1,123,"$160,000,000 ",China,1,3,Adventure,2
9,3,Warcraft,HuaXia,"$213,541,452 ",8-Jun,23,https://www.boxofficemojo.com//movies/?page=intl&id=warcraft.htm,47,https://movie.douban.com/subject/2131940/,2131940,7.7,2016,tt0803096,https://www.imdb.com/title/tt0803096/?ref_=nv_sr_1,123,"$160,000,000 ",China,1,3,Fantasy,14
10,4,The Monkey King 2 in 3D,,"$185,402,420 ",8-Feb,6,https://www.boxofficemojo.com//movies/?page=intl&id=monkeyking2.htm,6,https://movie.douban.com/subject/25827963/,25827963,5.6,2016,tt4591310,https://www.imdb.com/title/tt4591310/?ref_=fn_al_tt_1,119,"$68,005,000 ",China,0,1,Action,1
