,Rank,MovieName,Distributor,Gross,Release,Week,BOM_link,ReleaseInfo,db_link,db_id,rating,year,imdb_id,imdb_link,Runtime,Budget,Country,GoldRelease,IssueDataOfGoldenWeek,Genre,Number,Maoyan_link,TotalWechatClicks,TotalWeiboClicks,Resource
0,1,Wolf Warrior 2,,"$854,248,869 ",27-Jul,30,https://www.boxofficemojo.com//movies/?page=intl&id=wolfwarrior2.htm,14,https://movie.douban.com/subject/26363254/,26363254,7.1,2017,tt7131870,https://www.imdb.com/title/tt7131870/?ref_=nv_sr_1,123,"$29,700,000 ",China,0,4,Action,1,https://piaofang.maoyan.com/movie/344264,88万+,295292,7.09亿
1,1,Wolf Warrior 2,,"$854,248,869 ",27-Jul,30,https://www.boxofficemojo.com//movies/?page=intl&id=wolfwarrior2.htm,14,https://movie.douban.com/subject/26363254/,26363254,7.1,2017,tt7131870,https://www.imdb.com/title/tt7131870/?ref_=nv_sr_1,123,"$29,700,000 ",China,0,4,Drama,12,https://piaofang.maoyan.com/movie/344264,88万+,295292,7.09亿
2,1,Wolf Warrior 2,,"$854,248,869 ",27-Jul,30,https://www.boxofficemojo.com//movies/?page=intl&id=wolfwarrior2.htm,14,https://movie.douban.com/subject/26363254/,26363254,7.1,2017,tt7131870,https://www.imdb.com/title/tt7131870/?ref_=nv_sr_1,123,"$29,700,000 ",China,0,4,Thriller,24,https://piaofang.maoyan.com/movie/344264,88万+,295292,7.09亿
3,1,Wolf Warrior 2,,"$854,248,869 ",27-Jul,30,https://www.boxofficemojo.com//movies/?page=intl&id=wolfwarrior2.htm,14,https://movie.douban.com/subject/26363254/,26363254,7.1,2017,tt7131870,https://www.imdb.com/title/tt7131870/?ref_=nv_sr_1,123,"$29,700,000 ",China,0,4,War,25,https://piaofang.maoyan.com/movie/344264,88万+,295292,7.09亿
4,2,The Fate of the Furious,UPI,"$392,807,017 ",14-Apr,15,https://www.boxofficemojo.com//movies/?page=intl&id=furious8.htm,9,https://movie.douban.com/subject/26260853/,26260853,7,2017,tt4630562,https://www.imdb.com/title/tt4630562/?ref_=nv_sr_1,136,"$250,000,000 ",China,0,2,Action,1,https://piaofang.maoyan.com/movie/248700,,,12.31亿
5,2,The Fate of the Furious,UPI,"$392,807,017 ",14-Apr,15,https://www.boxofficemojo.com//movies/?page=intl&id=furious8.htm,9,https://movie.douban.com/subject/26260853/,26260853,7,2017,tt4630562,https://www.imdb.com/title/tt4630562/?ref_=nv_sr_1,136,"$250,000,000 ",China,0,2,Crime,8,https://piaofang.maoyan.com/movie/248700,,,12.31亿
6,2,The Fate of the Furious,UPI,"$392,807,017 ",14-Apr,15,https://www.boxofficemojo.com//movies/?page=intl&id=furious8.htm,9,https://movie.douban.com/subject/26260853/,26260853,7,2017,tt4630562,https://www.imdb.com/title/tt4630562/?ref_=nv_sr_1,136,"$250,000,000 ",China,0,2,Thriller,24,https://piaofang.maoyan.com/movie/248700,,,12.31亿
7,3,Never Say Die,,"$333,937,573 ",30-Sep,39,https://www.boxofficemojo.com//movies/intl/?id=_fNEVERSAYDIE01&country=CH&wk=2017W39&id=_fNEVERSAYDIE01&p=.htm,13,https://movie.douban.com/subject/27038183/,27038183,6.9,2017,tt7431894,https://www.imdb.com/title/tt7431894/?ref_=nv_sr_1,100,,China,0,4,Comedy,6,https://piaofang.maoyan.com/movie/984231,,,
8,3,Never Say Die,,"$333,937,573 ",30-Sep,39,https://www.boxofficemojo.com//movies/intl/?id=_fNEVERSAYDIE01&country=CH&wk=2017W39&id=_fNEVERSAYDIE01&p=.htm,13,https://movie.douban.com/subject/27038183/,27038183,6.9,2017,tt7431894,https://www.imdb.com/title/tt7431894/?ref_=nv_sr_1,100,,China,0,4,Fantasy,14,https://piaofang.maoyan.com/movie/984231,,,
9,3,Never Say Die,,"$333,937,573 ",30-Sep,39,https://www.boxofficemojo.com//movies/intl/?id=_fNEVERSAYDIE01&country=CH&wk=2017W39&id=_fNEVERSAYDIE01&p=.htm,13,https://movie.douban.com/subject/27038183/,27038183,6.9,2017,tt7431894,https://www.imdb.com/title/tt7431894/?ref_=nv_sr_1,100,,China,0,4,Sport,22,https://piaofang.maoyan.com/movie/984231,,,
10,4,The Ex-File: The Return of the Exes,,"$306,449,457 ",29-Dec,52,https://www.boxofficemojo.com//movies/?page=intl&id=exfile3.htm,9,https://movie.douban.com/subject/26662193/,26662193,5.5,2017,tt7830888,https://www.imdb.com/title/tt7830888/?ref_=fn_al_tt_1,120,,China,0,1,,6,https://piaofang.maoyan.com/movie/344929,17万+,15069,5.56亿
11,5,Kung Fu Yoga,,"$254,531,595 ",28-Jan,4,https://www.boxofficemojo.com//movies/?page=intl&id=kungfuyoga.htm,10,https://movie.douban.com/subject/26182910/,26182910,5,2017,tt4217392,https://www.imdb.com/title/tt4217392/?ref_=nv_sr_1,107,"$65,000,000 ",China,0,1,Action,1,https://piaofang.maoyan.com/movie/248933,,0,
12,5,Kung Fu Yoga,,"$254,531,595 ",28-Jan,4,https://www.boxofficemojo.com//movies/?page=intl&id=kungfuyoga.htm,10,https://movie.douban.com/subject/26182910/,26182910,5,2017,tt4217392,https://www.imdb.com/title/tt4217392/?ref_=nv_sr_1,107,"$65,000,000 ",China,0,1,Adventure,2,https://piaofang.maoyan.com/movie/248933,,0,
13,5,Kung Fu Yoga,,"$254,531,595 ",28-Jan,4,https://www.boxofficemojo.com//movies/?page=intl&id=kungfuyoga.htm,10,https://movie.douban.com/subject/26182910/,26182910,5,2017,tt4217392,https://www.imdb.com/title/tt4217392/?ref_=nv_sr_1,107,"$65,000,000 ",China,0,1,Comedy,6,https://piaofang.maoyan.com/movie/248933,,0,
14,5,Kung Fu Yoga,,"$254,531,595 ",28-Jan,4,https://www.boxofficemojo.com//movies/?page=intl&id=kungfuyoga.htm,10,https://movie.douban.com/subject/26182910/,26182910,5,2017,tt4217392,https://www.imdb.com/title/tt4217392/?ref_=nv_sr_1,107,"$65,000,000 ",China,0,1,Fantasy,14,https://piaofang.maoyan.com/movie/248933,,0,
