,Rank,year,MovieName,Genre,Number,Budget,Resource_x,Runtime,Release,GoldRelease,IssueDataOfGoldenWeek,ReleaseInfo,DoubanRate,Country,Distributor,Gross,Week,db_link,db_id,imdb_id,imdb_link,Maoyan_link_x,Maoyan_link_y,TotalWechatClicks,TotalWeiboClicks,Resource_y
0,1,2018,Operation Red Sea,Action,1,"$70,000,000
            ",579,142,16-Feb,0,1,11,8.3,China,,"$575,849,199 ",7,https://movie.douban.com/subject/26861685/,26861685,tt6878882,https://www.imdb.com/title/tt6878882/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1182552,https://piaofang.maoyan.com/movie/1182552,67万+,1100321,5.80亿
1,1,2018,Operation Red Sea,Drama,12,"$70,000,000
            ",579,142,16-Feb,0,1,11,8.3,China,,"$575,849,199 ",7,https://movie.douban.com/subject/26861685/,26861685,tt6878882,https://www.imdb.com/title/tt6878882/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1182552,https://piaofang.maoyan.com/movie/1182552,67万+,1100321,5.80亿
2,1,2018,Operation Red Sea,Thriller,24,"$70,000,000
            ",579,142,16-Feb,0,1,11,8.3,China,,"$575,849,199 ",7,https://movie.douban.com/subject/26861685/,26861685,tt6878882,https://www.imdb.com/title/tt6878882/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1182552,https://piaofang.maoyan.com/movie/1182552,67万+,1100321,5.80亿
3,1,2018,Operation Red Sea,War,26,"$70,000,000
            ",579,142,16-Feb,0,1,11,8.3,China,,"$575,849,199 ",7,https://movie.douban.com/subject/26861685/,26861685,tt6878882,https://www.imdb.com/title/tt6878882/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1182552,https://piaofang.maoyan.com/movie/1182552,67万+,1100321,5.80亿
4,2,2015,Detective Chinatown 2,Action,1,,1258,121,16-Feb,0,1,9,7.5,China,,"$541,406,438 ",7,https://movie.douban.com/subject/26311973/,26311973,tt7752454,https://www.imdb.com/title/tt7752454/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/344990,https://piaofang.maoyan.com/movie/344990,21万+,16468,12.59亿
5,2,2015,Detective Chinatown 2,Comedy,6,,1258,121,16-Feb,0,1,9,7.5,China,,"$541,406,438 ",7,https://movie.douban.com/subject/26311973/,26311973,tt7752454,https://www.imdb.com/title/tt7752454/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/344990,https://piaofang.maoyan.com/movie/344990,21万+,16468,12.59亿
6,2,2015,Detective Chinatown 2,Mystery,19,,1258,121,16-Feb,0,1,9,7.5,China,,"$541,406,438 ",7,https://movie.douban.com/subject/26311973/,26311973,tt7752454,https://www.imdb.com/title/tt7752454/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/344990,https://piaofang.maoyan.com/movie/344990,21万+,16468,12.59亿
7,3,2018,Dying To Survive,Comedy,6,"$15,000,000
            ",299,117,5-Jul,0,4,14,9,China,,"$451,176,639 ",27,https://movie.douban.com/subject/26752088/,26752088,tt7362036,https://www.imdb.com/title/tt7362036/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1200486,https://piaofang.maoyan.com/movie/1200486,625万+,2698244,3.00亿
8,3,2018,Dying To Survive,Drama,12,"$15,000,000
            ",299,117,5-Jul,0,4,14,9,China,,"$451,176,639 ",27,https://movie.douban.com/subject/26752088/,26752088,tt7362036,https://www.imdb.com/title/tt7362036/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1200486,https://piaofang.maoyan.com/movie/1200486,625万+,2698244,3.00亿
9,4,2018,Hello Mr. Billionaire,Comedy,6,"CNY&nbsp;150,000,000
            ",318,118,27-Jul,0,4,14,6.6,China,,"$366,961,907 ",30,https://movie.douban.com/subject/27605698/,27605698,tt8529186,https://www.imdb.com/title/tt8529186/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1212592,https://piaofang.maoyan.com/movie/1212592,3483万+,1268655,3.19亿
10,5,2018,Avengers: Infinity War,Action,1,"$321,000,000
            ",185,149,11-May,1,3,9,8.1,USA,Disney,"$359,543,153 ",19,https://movie.douban.com/subject/24773958/,24773958,tt4154756,https://www.imdb.com/title/tt4154756/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/248170,https://piaofang.maoyan.com/movie/248170,121万+,2320198,1.86亿
11,5,2018,Avengers: Infinity War,Adventure,2,"$321,000,000
            ",185,149,11-May,1,3,9,8.1,USA,Disney,"$359,543,153 ",19,https://movie.douban.com/subject/24773958/,24773958,tt4154756,https://www.imdb.com/title/tt4154756/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/248170,https://piaofang.maoyan.com/movie/248170,121万+,2320198,1.86亿
12,5,2018,Avengers: Infinity War,Fantasy,14,"$321,000,000
            ",185,149,11-May,1,3,9,8.1,USA,Disney,"$359,543,153 ",19,https://movie.douban.com/subject/24773958/,24773958,tt4154756,https://www.imdb.com/title/tt4154756/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/248170,https://piaofang.maoyan.com/movie/248170,121万+,2320198,1.86亿
13,5,2018,Avengers: Infinity War,Sci-Fi,21,"$321,000,000
            ",185,149,11-May,1,3,9,8.1,USA,Disney,"$359,543,153 ",19,https://movie.douban.com/subject/24773958/,24773958,tt4154756,https://www.imdb.com/title/tt4154756/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/248170,https://piaofang.maoyan.com/movie/248170,121万+,2320198,1.86亿
14,6,2018,Monster Hunt 2,Adventure,2,,900,110,16-Feb,0,1,9,5,China,,"$356,336,096 ",7,https://movie.douban.com/subject/26575103/,26575103,tt6170484,https://www.imdb.com/title/tt6170484/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/346272,https://piaofang.maoyan.com/movie/346272,1093万+,13216,9.03亿
15,6,2018,Monster Hunt 2,Comedy,6,,900,110,16-Feb,0,1,9,5,China,,"$356,336,096 ",7,https://movie.douban.com/subject/26575103/,26575103,tt6170484,https://www.imdb.com/title/tt6170484/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/346272,https://piaofang.maoyan.com/movie/346272,1093万+,13216,9.03亿
16,6,2018,Monster Hunt 2,Sci-Fi,21,,900,110,16-Feb,0,1,9,5,China,,"$356,336,096 ",7,https://movie.douban.com/subject/26575103/,26575103,tt6170484,https://www.imdb.com/title/tt6170484/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/346272,https://piaofang.maoyan.com/movie/346272,1093万+,13216,9.03亿
17,7,2018,Aquaman,Action,1,"$160,000,000
            ",363.78,143,7-Dec,0,1,5,7.8,Australia,WB,"$293,094,544 ",49,https://movie.douban.com/subject/3878007/,3878007,tt1477834,https://www.imdb.com/title/tt1477834/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/249342,https://piaofang.maoyan.com/movie/249342,3048万+,3261951,
18,7,2018,Aquaman,Adventure,2,"$160,000,000
            ",363.78,143,7-Dec,0,1,5,7.8,Australia,WB,"$293,094,544 ",49,https://movie.douban.com/subject/3878007/,3878007,tt1477834,https://www.imdb.com/title/tt1477834/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/249342,https://piaofang.maoyan.com/movie/249342,3048万+,3261951,
19,7,2018,Aquaman,Fantasy,14,"$160,000,000
            ",363.78,143,7-Dec,0,1,5,7.8,Australia,WB,"$293,094,544 ",49,https://movie.douban.com/subject/3878007/,3878007,tt1477834,https://www.imdb.com/title/tt1477834/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/249342,https://piaofang.maoyan.com/movie/249342,3048万+,3261951,
20,7,2018,Aquaman,Sci-Fi,21,"$160,000,000
            ",363.78,143,7-Dec,0,1,5,7.8,Australia,WB,"$293,094,544 ",49,https://movie.douban.com/subject/3878007/,3878007,tt1477834,https://www.imdb.com/title/tt1477834/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/249342,https://piaofang.maoyan.com/movie/249342,3048万+,3261951,
21,8,2018,Venom (2018),Action,1,"$100,000,000 ",,112,9-Nov,1,5,9,7.2,USA,,"$272,243,405 ",45,https://movie.douban.com/subject/3168101/,3168101,,,,,,,
22,8,2018,Venom (2018),Sci-Fi,21,"$100,000,000 ",,112,9-Nov,1,5,9,7.2,USA,,"$272,243,405 ",45,https://movie.douban.com/subject/3168101/,3168101,,,,,,,
23,9,2018,Jurassic World: Fallen Kingdom,Action,1,"$170,000,000
            ",184,128,15-Jun,1,3,12,6.7,USA,,"$261,224,207 ",24,https://movie.douban.com/subject/26416062/,26416062,tt4881806,https://www.imdb.com/title/tt4881806/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/341628,https://piaofang.maoyan.com/movie/341628,5104,845678,1.85亿
